Year,Waadt,Wallis,Genf,Bern,Freiburg,Solothurn,Neuenburg,Jura,Basel-Stadt,Basel-Landschaft,Aargau,Zurich,Glarus,Schaffhausen,Appenzell A. Rh.,Appenzell I. Rh.,St. Gallen,Graunbunden,Thurgau,Luzern,Uri,Schwyz,Obwalden,Nidwalden,Zug,Tessin
1980,363.7885769,350.5293085,444.5530377,331.3211614,333.5999741,344.2310876,373.6812531,345.4823322,283.1727205,362.0294256,362.1502102,368.5918056,310.5505089,345.2490642,330.6617864,290.5514848,284.4126111,325.9716737,347.0625484,313.2216128,292.4495068,333.1552066,316.4359004,355.9824292,353.7371134,413.2945718
1985,422.7680111,423.7533166,495.219718,369.7594776,400.8081835,390.4074312,422.8414256,390.0505019,308.5833131,401.0783133,424.5285233,401.9315073,358.9354847,396.2706629,375.7988922,355.4384644,351.9544475,365.5166446,405.5815848,368.0603265,346.3332546,401.6584557,365.345218,422.253923,412.7581836,453.4849486
1990,469,465,499,403,457,443,467,440,331,426,458,443,401,427,413,380,394,407,443,398,388,459,408,462,469,514
1991,472,484,500,406,462,457,473,451,324,432,464,444,413,442,428,394,398,416,445,401,394,468,422,479,486,535
1992,471,489,498,408,466,457,467,451,322,432,463,444,414,441,423,393,399,418,449,402,394,466,424,477,486,544
1993,470,486,494,408,466,448,466,450,319,435,464,443,415,439,426,399,401,421,451,404,399,473,426,479,491,544
1994,476,491,495,411,471,453,469,459,319,442,470,447,420,443,432,399,407,424,460,408,406,480,436,479,495,551
1995,481,495,498,420,478,462,476,464,319,448,475,454,427,446,433,403,415,430,465,412,412,487,445,483,498,558
1996,488,506,505,417,484,466,486,474,321,451,482,459,394,460,396,374,422,436,469,418,382,493,412,456,506,565
1997,497,515,507,425,490,471,490,489,321,459,489,462,442,461,447,421,427,440,474,423,430,500,464,512,515,573
1998,505,526,510,433,497,480,494,498,326,466,499,470,447,471,450,424,436,445,479,430,435,508,467,512,528,582
1999,518,538,513,442,507,490,500,509,333,476,509,477,456,481,467,435,445,453,492,439,459,521,486,526,542,590
2000,526,545,520,452,515,501,509,515,336,484,519,483,463,493,477,441,454,456,504,447,458,529,492,541,554,592
2001,532,553,523,461,519,510,514,518,338,489,525,488,474,500,485,454,461,458,516,454,463,545,500,548,563,598
2002,534,562,523,470,526,519,517,523,340,496,532,491,483,509,494,465,470,464,526,460,472,554,508,555,571,601
2003,536,566,520,475,530,527,517,530,343,500,538,490,491,516,501,475,476,468,532,464,477,557,515,556,576,595
2004,538,570,517,480,533,532,521,537,342,503,544,495,500,522,512,487,484,474,537,471,480,566,520,566,578,598
2005,534,576,515,483,536,541,518,544,348,503,549,504,507,528,516,490,486,482,540,475,482,570,521,562,585,600
2006,524,582,506,495,541,538,513,544,341,507,552,504,488,514,507,490,494,492,551,478,467,554,518,554,577,602
2007,524.5810987,586.0340896,500.8443575,496.1888099,541.3380983,542.1216441,515.0887313,550.290915,340.9264558,502.8831007,555.8682769,510.225711,497.0026818,522.2257969,514.5286083,508.0516369,496.4387831,498.9837292,552.4416207,484.452537,474.1196621,570.5778057,524.6411129,563.1097407,582.5078566,606.5127948
2008,522.6887837,583.3181086,487.075938,499.7203955,549.5071235,542.4837384,515.0179725,553.1337139,342.8261018,506.6574063,556.7491842,494.1184591,496.9212629,529.1625025,526.1343946,510.3980986,494.6902617,507.36913,569.4518317,487.9279525,471.3403371,575.9577,525.2951343,561.5964723,588.4862759,603.504222
2009,507,594,474,481,568,540,514,550,335,528,552,482,524,516,545,531,503,519,595,486,496,578,542,582,586,606
